,연관키워드,type,월간검색수_PC,월간검색수_모바일,월평균클릭수_PC,월평균클릭수_모바일,월평균클릭률_PC,월평균클릭률_모바일,월평균노출광고수,경쟁정도,입찰가_m1,입찰가_m2,입찰가_p1,입찰가_p2
95,맥코트,패션의류,2650.0,13100.0,1.6,1.7,0.07,0.02,15,3,920.0,570.0,710.0,460.0
96,모헤어니트,패션의류,850.0,8020.0,1.6,0.3,0.2,0.01,15,3,1050.0,510.0,490.0,380.0
97,바지,패션의류,5310.0,39500.0,12.3,181.3,0.25,0.5,15,3,9780.0,1740.0,12560.0,1840.0
98,깔깔이,스포츠/레저,11300.0,72200.0,51.3,923.7,0.47,1.36,15,3,1070.0,640.0,990.0,740.0
99,남성조끼,패션의류,1420.0,7780.0,9.6,42.1,0.7,0.59,15,3,1450.0,580.0,820.0,620.0
100,알파카코트,패션의류,1100.0,11700.0,5.5,35.8,0.52,0.33,15,3,1460.0,720.0,810.0,520.0
101,트렌치코트,패션의류,6970.0,68800.0,20.5,20.8,0.32,0.04,15,3,10790.0,1710.0,12760.0,1880.0
102,바캉스원피스,패션의류,820.0,8400.0,49.6,375.3,6.2,4.87,15,3,1220.0,790.0,880.0,760.0
103,블랙원피스,패션의류,1300.0,14000.0,4.3,5.7,0.34,0.05,15,3,1390.0,560.0,610.0,520.0
104,파티드레스,패션의류,1110.0,12200.0,36.7,641.0,3.47,5.62,15,3,920.0,800.0,810.0,770.0
105,니트스커트,패션의류,2640.0,24100.0,4.5,19.8,0.18,0.09,15,3,1030.0,570.0,710.0,520.0
106,니트투피스,패션의류,1300.0,17300.0,5.7,25.2,0.46,0.16,15,3,1170.0,530.0,410.0,340.0
107,휴양지원피스,패션의류,2210.0,20000.0,116.7,840.7,5.5,4.57,15,3,1550.0,990.0,780.0,710.0
108,자켓,패션잡화,6320.0,49700.0,8.3,22.5,0.14,0.05,15,3,10630.0,2960.0,13350.0,3170.0
109,여성등산화,패션의류,2210.0,14600.0,16.1,184.6,0.76,1.36,15,3,980.0,760.0,1310.0,1110.0
110,코트,패션의류,12200.0,115100.0,25.8,139.3,0.23,0.13,15,3,9180.0,1820.0,14910.0,1990.0
111,코듀로이원피스,패션의류,1330.0,17500.0,5.5,28.4,0.44,0.18,15,3,1090.0,520.0,440.0,370.0
112,결혼식원피스,패션의류,930.0,10000.0,15.1,179.7,1.7,1.95,15,3,1010.0,640.0,640.0,540.0
113,라이더자켓,패션의류,2760.0,23900.0,7.9,12.9,0.31,0.06,15,3,1420.0,850.0,1120.0,680.0
