,연관키워드,월간검색수_PC,월간검색수_모바일,월평균클릭수_PC,월평균클릭수_모바일,월평균클릭률_PC,월평균클릭률_모바일,월평균노출광고수,경쟁정도,키워드,입찰가_모바일_1위
231,남자블레이저,1580.0,8860.0,9.0,77.5,0.61,0.95,15,3,남자블레이저,1530.0
232,트러커자켓,1330.0,7380.0,1.5,4.3,0.13,0.07,15,3,트러커자켓,980.0
233,터틀넥니트,1500.0,14100.0,5.1,27.8,0.36,0.22,15,3,터틀넥니트,1420.0
234,유니클로니트,1190.0,7990.0,1.1,3.0,0.1,0.05,8,2,유니클로니트,1150.0
235,유니클로가디건,1240.0,9400.0,4.1,89.8,0.35,1.04,15,3,유니클로가디건,1560.0
236,니트조끼,6190.0,77100.0,32.1,394.5,0.55,0.56,15,3,니트조끼,1050.0
237,남자바람막이,2000.0,9020.0,9.0,54.3,0.47,0.66,15,3,남자바람막이,5130.0
238,퀼팅점퍼,3120.0,31600.0,5.7,45.2,0.19,0.16,15,3,퀼팅점퍼,1200.0
239,퀼팅자켓,6440.0,61300.0,11.4,91.0,0.19,0.16,15,3,퀼팅자켓,1780.0
240,코듀로이자켓,2010.0,16300.0,6.5,2.0,0.35,0.02,15,3,코듀로이자켓,780.0
241,맥코트,2650.0,13100.0,1.6,1.7,0.07,0.02,15,3,맥코트,920.0
242,롱코트,3160.0,26100.0,7.2,64.4,0.24,0.27,15,3,롱코트,1050.0
243,남자기모바지,2700.0,12100.0,23.1,147.6,0.88,1.29,15,3,남자기모바지,2500.0
244,청자켓,2550.0,22500.0,6.4,21.4,0.27,0.11,15,3,청자켓,1370.0
245,남자퀼팅자켓,1270.0,6700.0,2.1,7.2,0.17,0.12,15,3,남자퀼팅자켓,1190.0
246,남성겨울코트,1060.0,5290.0,6.0,49.0,0.59,1.0,15,3,남성겨울코트,1400.0
247,남성경량패딩,4840.0,31300.0,34.5,204.0,0.74,0.7,15,3,남성경량패딩,1900.0
248,남자코트브랜드,1590.0,7550.0,3.7,5.3,0.25,0.08,15,3,남자코트브랜드,1050.0
249,남자기모청바지,2190.0,13900.0,26.9,140.5,1.28,1.08,15,3,남자기모청바지,3720.0
250,남성기모바지,3400.0,19500.0,43.5,229.0,1.34,1.26,15,3,남성기모바지,1870.0
251,남자겨울코트,1690.0,6940.0,10.5,63.2,0.66,0.97,15,3,남자겨울코트,1110.0
252,여성점퍼,1730.0,19400.0,12.8,163.5,0.78,0.9,15,3,여성점퍼,3590.0
253,캐시미어니트,5870.0,61100.0,56.5,689.6,1.01,1.22,15,3,캐시미어니트,7730.0
254,기모청바지,3320.0,26700.0,20.5,173.9,0.64,0.69,15,3,기모청바지,1550.0
255,항공점퍼,9870.0,82100.0,53.5,732.3,0.57,0.96,15,3,항공점퍼,910.0
256,캐시미어가디건,1270.0,12700.0,11.8,105.0,0.97,0.9,15,3,캐시미어가디건,1230.0
257,울코트,2970.0,24100.0,10.1,20.8,0.36,0.1,15,3,울코트,1150.0
258,여성니트조끼,1720.0,17200.0,15.3,88.2,0.94,0.57,15,3,여성니트조끼,1060.0
259,다운점퍼,1370.0,6240.0,3.7,29.4,0.28,0.51,15,3,다운점퍼,1330.0
