,연관키워드,월간검색수_PC,월간검색수_모바일,월평균클릭수_PC,월평균클릭수_모바일,월평균클릭률_PC,월평균클릭률_모바일,월평균노출광고수,경쟁정도
4404,아기100일,130.0,1090.0,0.1,3.4,0.1,0.34,15,3
4405,국민기저귀가방,280.0,7970.0,0.2,2.3,0.09,0.04,13,2
4406,조카백일선물,260.0,1880.0,0.8,5.7,0.31,0.33,15,3
4407,친구출산선물,430.0,1840.0,0.5,0.7,0.12,0.04,15,3
4408,출산선물물티슈,10.0,30.0,0.0,0.0,0.0,0.0,3,3
4409,남자아기선물,90.0,490.0,0.6,0.0,0.66,0.0,15,3
4410,병원놀이,1000.0,4170.0,0.4,28.4,0.05,0.73,15,3
4411,파닉스뜻,780.0,9630.0,0.0,1.2,0.0,0.02,3,3
4412,영어교구,390.0,840.0,6.1,7.4,1.58,0.93,15,3
4413,파닉스카드,50.0,300.0,0.2,0.0,0.3,0.0,13,2
4414,아기100일선물,830.0,4970.0,2.4,26.9,0.31,0.58,15,3
4415,아기용품쇼핑몰,10.0,40.0,0.7,0.9,3.93,1.9,15,3
4416,6살여아선물,100.0,650.0,0.0,5.3,0.0,0.87,15,3
4417,공갈젖꼭지,910.0,9920.0,0.9,110.0,0.11,1.2,15,3
4418,신생아용품쇼핑몰,40.0,320.0,2.7,24.7,6.21,8.05,15,3
4419,아기쿨매트,90.0,2040.0,0.1,1.9,0.16,0.11,15,3
4420,남자아이돌선물,40.0,170.0,0.0,0.3,0.0,0.19,15,3
4421,영유아침대,40.0,280.0,0.4,10.3,0.96,3.87,15,3
4422,아기출산선물,60.0,400.0,0.1,2.8,0.11,0.74,15,3
4423,유아가구,160.0,730.0,4.5,26.4,3.03,3.78,15,3
4424,베이비쇼핑몰,40.0,400.0,1.9,34.5,4.25,8.9,15,3
4425,남아쇼핑몰,290.0,3690.0,23.8,502.4,8.39,14.39,15,3
4426,아기선물,780.0,4300.0,1.9,15.9,0.26,0.4,15,3
4427,7세여아선물,160.0,1440.0,0.7,0.7,0.43,0.05,15,3
4428,산모용품,50.0,170.0,0.2,1.9,0.39,1.21,15,3
4429,기저귀파우치,250.0,4410.0,0.2,17.1,0.09,0.42,15,3
4430,여아돌선물,70.0,610.0,0.5,5.4,0.83,0.95,15,3
4431,유아용품사이트,10.0,10.0,0.2,0.0,1.06,0.0,15,3
4432,공구놀이,290.0,1770.0,0.1,0.3,0.05,0.02,15,3
4433,대구돌사진,50.0,610.0,1.0,25.0,1.71,4.33,14,3
4434,대구성장앨범,70.0,420.0,1.8,21.9,2.48,5.79,10,2
4435,대구만삭사진,100.0,600.0,0.5,15.5,0.52,2.66,11,2
4436,애기100일선물,140.0,840.0,0.9,8.8,0.69,1.11,15,3
4437,딸랑이,730.0,6280.0,1.8,50.4,0.26,0.86,15,3
4438,신생아바운서,480.0,5790.0,0.2,1.3,0.05,0.03,14,3
4439,첫돌선물,250.0,1540.0,0.5,25.3,0.2,1.74,15,3
4440,출산축하선물,210.0,740.0,1.5,5.9,0.74,0.85,15,3
4441,플레이모빌,2830.0,18200.0,26.8,368.8,1.01,2.14,15,3
4442,유아소꿉놀이,10.0,70.0,0.1,1.5,1.29,2.15,14,3
4443,베이비샤워선물,150.0,790.0,0.5,0.0,0.38,0.0,15,3
4444,조카돌잔치선물,190.0,720.0,1.7,2.0,0.91,0.31,15,3
4445,아기겨울실내복,60.0,1600.0,0.5,21.8,0.84,1.44,15,3
4446,출산후산모선물,60.0,380.0,0.1,0.3,0.21,0.1,15,3
4447,아기쪽쪽이,180.0,2220.0,0.3,17.9,0.19,0.86,15,3
4448,장난감추천,60.0,280.0,0.0,0.0,0.0,0.0,15,3
4449,노리개젖꼭지,230.0,870.0,0.3,3.3,0.13,0.41,15,3
4450,신생아공갈젖꼭지,60.0,2110.0,0.1,6.3,0.21,0.32,15,3
4451,친구임신선물,250.0,1250.0,0.4,0.3,0.17,0.03,15,3
4452,쌍둥이출산선물,90.0,560.0,0.1,5.8,0.15,1.11,15,3
4453,신생아아기띠추천,60.0,610.0,0.0,0.0,0.0,0.0,3,3
4454,신생아요,30.0,300.0,0.0,0.3,0.0,0.12,3,3
4455,손목딸랑이,30.0,1170.0,0.4,0.7,1.2,0.07,5,2
4456,치발기세트,10.0,210.0,0.0,0.0,0.0,0.0,3,3
4457,백일아기선물,110.0,890.0,0.3,1.0,0.32,0.12,15,3
4458,누크쪽쪽이,50.0,2240.0,0.0,1.7,0.0,0.09,3,3
